Date,Verified,ProductID,Rating,Title,ReviewText,ReviewID
21-01-2025,TRUE,B08T68ZMGL,4,Effective product,herb garden responded beautifully to this treatment,R3F17I07NJ7LT
18-02-2024,TRUE,B08T68ZMGL,4,Works well,Significant improvement in herb garden health and flowering,R3ULTQJZDJTMV
17-07-2024,TRUE,B08T68ZMGL,4,Great buy,My plants flower abundantly. Thanks!,RMDD79XNL6Q5D
09-10-2023,FALSE,B08T68ZMGL,3,Average product,Takes too long to show results on succulents,RE2WKP7HVN55Q
07-04-2022,TRUE,B08T68ZMGL,5,Effective product,The marigold in my garden are now fruiting abundantly thanks to this product,RU55OLDLG9JXO
24-06-2023,TRUE,B08T68ZMGL,5,Great buy,My plants flower abundantly. Thanks!,RYRI3MUI7D5YX
22-09-2023,FALSE,B08T68ZMGL,3,Okay results,Not bad but not great for my orchids,R88K2QTZJ4NY5
23-08-2025,FALSE,B08T68ZMGL,5,Happy with purchase,Works exactly as described on my fruit trees - fruiting abundantly,RDWG820JL0P22
15-03-2025,TRUE,B08T68ZMGL,5,Great buy,Works exactly as described on my hibiscus - 100% guarantee,RK8HE3NCEV1NN
25-07-2023,TRUE,B08T68ZMGL,5,Amazing results!,"My money plants are thriving with this product, fruiting abundantly",RGV2TU3NJ03R8
28-06-2023,FALSE,B08T68ZMGL,5,Visible improvement,Significant improvement in fruit trees health and fruit production,RXSAPQSNH672Q
14-06-2022,FALSE,B08T68ZMGL,5,Amazing results!,Excellent results with my rose plants - saw improvement in just 16 days,RU22VEXKK12NK
14-08-2025,TRUE,B08T68ZMGL,5,Happy with purchase,My plants flower abundantly. Thanks!,RABR2GZZ279XV
06-06-2025,TRUE,B08T68ZMGL,2,Not effective,"Did nothing for my indoor plants, very disappointed",RZTJOJX3V9WQ5
15-04-2022,TRUE,B08T68ZMGL,4,Highly recommended,This product saved my dying herb garden - now they're 100% guarantee,R3F90RM9QJF02
19-09-2022,TRUE,B08T68ZMGL,1,Not effective,No improvement in my lawn even after 5 weeks,R1DXY1COOCKVZ
12-11-2023,TRUE,B08T68ZMGL,1,No results,"Did nothing for my tulsi, very disappointed",RSEOQ85PD1G7X
26-07-2023,FALSE,B08T68ZMGL,4,Life saver for plants,Excellent results with my fruit trees - saw improvement in just 17 days,RCIOUB0V9KZ1L
12-06-2024,TRUE,B08T68ZMGL,5,Happy with purchase,The flowering plants in my garden are now blooming continuously thanks to this product,R0XJPQOD2NBBU
18-09-2022,TRUE,B08T68ZMGL,5,Effective product,lawn responded beautifully to this treatment,R6NDQ6KEUA7SL
21-11-2024,TRUE,B08T68ZMGL,5,Effective product,My plants flower abundantly. Thanks!,RNM3Y8BT51ZMR
07-08-2022,TRUE,B08T68ZMGL,4,Good product,Significant improvement in herb garden health and flowering,RS7SPGKX44GJK
10-07-2024,FALSE,B08T68ZMGL,5,Effective product,Works exactly as described on my orchids - recovered completely,R98MRIM92A9BJ
12-08-2024,TRUE,B08T68ZMGL,4,Life saver for plants,Wonderful product! My flowering plants growing vigorously,RE7FWLPURD0CR
21-09-2024,TRUE,B08T68ZMGL,2,No results,Would not recommend for lawn - growth stunted,R1COE5G4M0EK0
01-11-2023,TRUE,B08T68ZMGL,4,Happy with purchase,My tulsi have never looked better - greener than ever,RCVAYFUGQ1Y82
16-09-2022,TRUE,B08T68ZMGL,3,Moderate effect,Some improvement in my rose plants but expected more,RH4YG9DLYPS5B
08-07-2025,TRUE,B08T68ZMGL,5,Great buy,My plants flower abundantly. Thanks!,R8PAOSSK1JN2N
27-12-2022,TRUE,B08T68ZMGL,5,Effective product,My tulsi have never looked better - pest-free now,RQY9TJHFQ9UT3
28-10-2023,TRUE,B08T68ZMGL,1,No results,No visible change in my money plants condition,R67SCVP90Y3PH
30-03-2023,TRUE,B08T68ZMGL,2,No results,No visible change in my succulents condition,RE8NDJCZJCGB8
21-07-2023,TRUE,B08T68ZMGL,5,Great buy,Works exactly as described on my hibiscus - looking healthier,RQZIA36860J9Z
29-11-2023,TRUE,B08T68ZMGL,4,Happy with purchase,My succulents have never looked better - more vibrant colors,R61XHTE2M15KA
25-06-2024,TRUE,B08T68ZMGL,3,Okay results,My hibiscus showed moderate growth but it took several applications,RALFK2Y3RM928
14-08-2023,TRUE,B08T68ZMGL,4,Works well,Significant improvement in rose plants health and fruit production,RPPGOXSMNXFJN
11-03-2025,TRUE,B08T68ZMGL,1,Disappointed,No improvement in my hibiscus even after 4 weeks,RXFGAE9JFLWQL
25-12-2022,TRUE,B08T68ZMGL,4,Effective product,The succulents in my garden are now 100% guarantee thanks to this product,RGNW6LMH3CBOU
25-10-2023,TRUE,B08T68ZMGL,5,Great buy,My plants flower abundantly. Thanks!,R4RVT0VG1IMHF
14-07-2025,TRUE,B08T68ZMGL,5,Amazing results!,Wonderful product! My lawn recovered completely,RL85JJ3ZWG4TH
12-05-2025,TRUE,B08T68ZMGL,5,Happy with purchase,My flowering plants have never looked better - recovered completely,RIVV9SEXITAAL
17-01-2025,TRUE,B08T68ZMGL,3,Okay results,My bonsai are doing okay but not exceptional,RDXVZ8DUEBHWD
11-11-2023,FALSE,B08T68ZMGL,3,Moderate effect,My money plants are doing okay but not exceptional,RVVFIGQEN5GYC
26-09-2024,TRUE,B08T68ZMGL,4,Life saver for plants,This product saved my dying tulsi - now they're growing faster,RV12MXZQF3MVF
16-05-2023,TRUE,B08T68ZMGL,4,Life saver for plants,This product saved my dying rose plants - now they're greener than ever,RJKS62VM8W5G9
09-12-2023,TRUE,B08T68ZMGL,4,Great buy,My marigold have never looked better - 100% guarantee,RZAYOGAZU3DCA
10-08-2023,TRUE,B08T68ZMGL,4,Effective product,My plants flower abundantly. Thanks!,RR8S769RRO43M
30-04-2024,TRUE,B08T68ZMGL,5,Happy with purchase,The rose plants in my garden are now looking healthier thanks to this product,R64JYJWT9THTQ
19-03-2024,TRUE,B08T68ZMGL,4,Highly recommended,"My bonsai are thriving with this product, 100% guarantee",R0JGOOLTX380V
18-03-2022,TRUE,B08T68ZMGL,4,Amazing results!,"My succulents are thriving with this product, greener than ever",RAH3V4GOQYFQ5
27-06-2024,TRUE,B08T68ZMGL,4,Effective product,My tulsi have never looked better - greener than ever,RG8DZDWN29YYT
02-03-2025,FALSE,B08T68ZMGL,4,Great buy,My plants flower abundantly. Thanks!,R7TJLT8RSL9ZZ
03-05-2023,TRUE,B08T68ZMGL,4,Happy with purchase,My plants flower abundantly. Thanks!,RL094F42GDLG7
01-10-2024,TRUE,B08T68ZMGL,5,Happy with purchase,My plants flower abundantly. Thanks!,RPFWB54MLPDLA
13-04-2023,TRUE,B08T68ZMGL,5,Life saver for plants,"My hibiscus are thriving with this product, 100% guarantee",RETEQBB9YOH33
26-12-2023,TRUE,B08T68ZMGL,5,Highly recommended,Wonderful product! My money plants more vibrant colors,RVXFW1AB3I5HU
21-11-2025,FALSE,B08T68ZMGL,5,Effective product,hibiscus responded beautifully to this treatment,R96PBC0VKE5M1
27-10-2023,TRUE,B08T68ZMGL,1,No results,My flowering plants actually got worse after using this,RRK315MO9NHF9
23-09-2024,TRUE,B08T68ZMGL,1,Not effective,My terrace garden actually got worse after using this,RIB7Z17YRRA4H
28-03-2022,TRUE,B08T68ZMGL,4,Great buy,Works exactly as described on my flowering plants - growing faster,RFG2BFENAEY6Y
11-06-2022,TRUE,B08T68ZMGL,5,Good product,Significant improvement in hibiscus health and fruit production,REBCB6I4IWCQT
04-09-2025,TRUE,B08T68ZMGL,1,No results,"Did nothing for my hibiscus, very disappointed",R2YMGKKOVNZBY
05-11-2024,TRUE,B08T68ZMGL,5,Effective product,My hibiscus have never looked better - greener than ever,R2G1DANZ3LDKY
07-05-2022,TRUE,B08T68ZMGL,1,Harmful product,This product damaged my bonsai - now they're not responding,RGTUZ3N1PZILD
07-11-2023,TRUE,B08T68ZMGL,3,Moderate effect,My flowering plants showed moderate growth but it took a month,R3OAQNWVCK5CY
19-09-2022,TRUE,B08T68ZMGL,5,Effective product,The vegetables in my garden are now greener than ever thanks to this product,ROTQOINFDD67Y
19-06-2025,TRUE,B08T68ZMGL,4,Highly recommended,Wonderful product! My vegetables growing vigorously,R4D5TRT5FEO8F
14-03-2025,TRUE,B08T68ZMGL,5,Happy with purchase,Works exactly as described on my fruit trees - recovered completely,RZGADIYTS49NV
17-11-2024,TRUE,B08T68ZMGL,4,Great buy,Works exactly as described on my herb garden - greener than ever,R5FY7GC01I8ZD
