Date,Verified,ProductID,Rating,Title,ReviewText,ReviewID
03-07-2022,TRUE,B08T68ZMGL,5,Greatest Experience,My roof garden is full of colours again,RU1ASMRLC5HLW
29-03-2022,TRUE,B08T68ZMGL,4,Good,Good,R9PQFP6T3NDAJ
16-09-2021,TRUE,B08T68ZMGL,5,still now I didint get any succesful rezult,I use this product but didn’t get any rezult still now,R2P51CEALTVTQ0
06-03-2022,TRUE,B08T68ZMGL,5,Excellent result,Very good pgr for flowing and fruiting plants,R3IEYYL44GVBCE
08-09-2021,TRUE,B08T68ZMGL,5,Rose plant growth booster,Very good result after applying two times on rose plants.,R3BK7S833BZFSC
15-08-2023,TRUE,B08T68ZMGL,1,Placebo,Not even one percent of what their claims are.,R2QKJKQ9KR73L6
12-11-2021,FALSE,B08T68ZMGL,1,It's actual market price 120 rs per 250 ml,Product is very good for any type of plant . But price is totaly fake .. today i'm purchase 250 ml /price 120 rs. with bill from a licensed fertilizer shope . 12nov 2021 . Don't purchase fertilizer from amazon . Just because amazon have no observation team for consumers protection.,R2K2SWRA65BDCU
16-11-2022,TRUE,B08T68ZMGL,5,Very good product my plant health improved after spraying,Very good product my plant health improved after spraying,R1UUJZPZSII8GX
24-04-2022,TRUE,B08T68ZMGL,5,A wonder medicine!,It acts both as a pesticide as well as a stimulating hormone! Thanks with regards….. Prof,R1X7UOE8XE9866
02-03-2024,FALSE,B08T68ZMGL,5,good product,good product and best quality........... love to buy this product I recommend all farmer to buy this product thanks .....,R357NCVXW9ECKX
26-08-2022,TRUE,B08T68ZMGL,5,Good,Like,RXT6XJN3CMCNA
